shipment_id,booking_date,departure_date,arrival_date,weight_kg,volume_cbm,freight_cost_eur,status,origin_country,destination_country,customer_name,customer_segment,carrier_name,mode,carrier_mode,Anno_Settimana,Giorni_Transito,SLA_Rispettato,Costo_per_Kg,Costo_per_CBM,Categoria_Errore,Insuccesso_Flag
127,2024-06-02,2024-06-08,,"14616,3","50,84","17008,8",In Transit,Netherlands,Italy,Riverstone Logistics Partners,SME,CMA CGM,Air,Sea,2024-22,,,,,Dati Validi,0
128,2024-11-13,2024-11-22,2024-12-24,"17427,0","64,08","35338,42",Delayed,Italy,Germany,Riverstone Logistics Partners,SME,CMA CGM,Sea,Sea,2024-46,"32,0",,"2,027797096459517","551,4734706616729",Dati Validi,1
129,2025-06-04,2025-06-10,2025-06-30,"6829,6","23,34","8651,34",Delivered,Spain,Italy,Pinnacle Electronics ,Key Account,Cosco Shipping,Sea,Sea,2025-22,"20,0","1,0","1,2667418296825583","370,66580976863753",Dati Validi,0
130,2024-03-20,2024-03-25,,"16970,7","61,65","42843,58",In Transit,Sweden,Italy,Sunrise Apparel Ltd,Key Account,Lufthansa Cargo,Sea,Air,2024-12,,,,,Dati Validi,0
131,2024-06-06,2024-06-09,,"15258,0","62,61","39460,15",Cancelled,Spain,Italy,Green Valley Foods,SME,Maersk Line,Road,Sea,2024-23,,,,,Dati Validi,1
132,2025-03-30,2025-04-09,,"16480,4","75,83","27872,2",Cancelled,Italy,UK,Nordic Textiles AB,Key Account,CMA CGM,Air,Sea,2025-12,,,,,Dati Validi,1
133,2025-04-17,2025-04-22,,"11627,7","39,42","27778,08",In Transit,Italy,Portugal,Mediterraneo Ceramiche,Standard,Lufthansa Cargo,Air,Air,2025-15,,,"2,3889574034417813","704,6697108066971",Dati Validi,0
134,2025-01-15,2025-01-24,2025-02-16,"18617,3","67,05","307515,9",Delayed,Italy,Portugal,Atlantic Furniture Co.,Standard,Emirates SkyCargo,Sea,Air,2025-02,"23,0",,,,Dati Validi,1
135,2025-03-23,2025-03-25,,"9952,3","49,16","4686,59",Cancelled,Sweden,Italy,Delta Manufacturing,Standard,,Road,Road,2025-11,,,"0,47090521788933215","95,33340113913752",Anagrafica Carrier Mancante,1
136,2024-03-24,2024-03-30,2024-04-26,"7045,1","42,73","15069,78",Delivered,Spain,Italy,Far East Trading Co,Standard,DHL Global Forwarding,Sea,Road,2024-12,"27,0","1,0",,,Dati Validi,0
137,2025-04-28,2025-05-01,2025-06-05,"13556,9","47,42","6166,56",Delivered,Netherlands,Italy,Atlantic Furniture Co.,Standard,Maersk Line,Sea,Sea,2025-17,"35,0","1,0","0,45486505026960444","130,0413327709827",Dati Validi,0
138,2025-03-09,2025-03-11,2025-03-17,"6660,3","42,38","9702,78",Delivered,Germany,Netherlands,Atlantic Furniture Co.,Standard,Cosco Shipping,Road,Sea,2025-09,"6,0","1,0",,,Dati Validi,0
139,2024-01-17,2024-01-26,2024-03-04,"15822,0","81,69","6561,69",Delivered,Italy,Portugal,Mediterraneo Ceramiche,Standard,Maersk,Sea,Sea,2024-03,"38,0","1,0","0,4147193780811528","80,32427469702533",Dati Validi,0
140,2025-06-20,2025-06-26,,"11992,6","44,75","19464,67",In Transit,Italy,Germany,Coastal Imports,SME,CMA CGM,Sea,Sea,2025-24,,,"1,623056718309624","434,96469273743014",Dati Validi,0
141,2025-01-17,2025-01-22,2025-01-24,"17358,0","86,05","37746,83",Delivered,Spain,Italy,Mediterraneo Ceramiche,Standard,MSC,Road,Sea,2025-02,"2,0","1,0",,,Dati Validi,0
142,2024-12-26,2025-01-04,,"14159,4","51,57","29324,31",Cancelled,China,Italy,Coastal Imports,SME,DHL Global Forwarding,Sea,Road,2024-52,,,,,Dati Validi,1
143,2025-04-13,2025-04-14,2025-05-13,"1011,5","5,62","883,01",Delivered,Italy,Germany,Mediterraneo Ceramiche,Standard,Maersk Line,Sea,Sea,2025-14,"29,0","1,0","0,8729708353929807","157,11921708185054",Dati Validi,0
144,2024-09-16,2024-09-17,2024-09-22,"7885,6","29,52","19706,03",Delivered,Italy,Portugal,Far East Trading Co,Standard,CMA CGM,Road,Sea,2024-38,"5,0","1,0",,,Dati Validi,0
145,2025-03-26,2025-04-02,2025-04-05,"10941,7","48,71","28880,89",Delivered,Spain,Italy,Atlantic Furniture Co,Standard,DHL Global Forwarding,Air,Road,2025-12,"3,0","1,0",,,Dati Validi,0
146,2024-07-03,2024-07-12,2024-08-10,"2302,0","11,56","2760,22",Delivered,Spain,Italy,Atlantic Furniture Co,Standard,CMA CGM,Sea,Sea,2024-27,"29,0","1,0","1,1990529973935706","238,77335640138406",Dati Validi,0
147,2024-12-25,2025-01-02,2025-01-23,"19147,3","94,38","53673,55",Delayed,Italy,Portugal,Pinnacle Electronics ,Key Account,CMA CGM,Sea,Sea,2024-52,"21,0",,"2,803191572702157","568,6962280144099",Dati Validi,1
148,2025-01-07,2025-01-16,2025-01-20,"3184,0","13,2","7306,25",Delivered,Spain,Italy,Nordic Textiles AB,Key Account,Maersk,Road,Sea,2025-01,"4,0","1,0",,,Dati Validi,0
149,2025-01-05,2025-01-12,,"3418,0","15,72","4615,67",In Transit,Italy,USA,Atlantic Furniture Co,Standard,Lufthansa Cargo,Road,Air,2025-00,,,,,Dati Validi,0
150,2025-02-11,2025-02-17,2025-02-23,"21133,4","137,33","18120,96",Delivered,Italy,USA,Atlantic Furniture Co,Standard,Maersk Line,Road,Sea,2025-06,"6,0","1,0",,,Dati Validi,0
151,2025-04-01,2025-04-05,2025-04-10,"15282,9","50,98","13553,0",Delivered,Netherlands,Italy,Far East Trading Co,Standard,Maersk,Air,Sea,2025-13,"5,0","1,0",,,Dati Validi,0
152,2024-03-30,2024-04-05,2024-05-06,"1475,4","6,38","4094,31",Delayed,Italy,Portugal,Atlantic Furniture Co,Standard,,Sea,Road,2024-13,"31,0",,,,Anagrafica Carrier Mancante,1
153,2024-08-17,2024-08-19,,"3098,3","11,54","1678,67",Cancelled,Germany,Netherlands,Pinnacle Electronics ,Key Account,Maersk Line,Air,Sea,2024-33,,,,,Dati Validi,1
154,2024-03-29,2024-03-31,2024-04-06,"21991,1","85,29","36861,15",Delivered,Sweden,Italy,Green Valley Foods,SME,,Road,Road,2024-13,"6,0","1,0","1,6761849111686093","432,18607105170594",Anagrafica Carrier Mancante,0
155,2024-03-16,2024-03-24,2024-04-27,"11406,1","67,39","27500,44",Delayed,Italy,USA,Coastal Imports,SME,Maersk,Sea,Sea,2024-11,"34,0",,"2,411029186137242","408,07894346342187",Dati Validi,1
156,2025-05-29,2025-05-30,,"3408,7","19,51","4301,4",In Transit,Spain,Italy,Coastal Imports,SME,Maersk Line,Sea,Sea,2025-21,,,"1,26188869657054","220,47155304971807",Dati Validi,0
157,2024-09-13,2024-09-17,2024-09-22,"2797,5","14,32","4926,67",Delivered,Italy,Germany,Green Valley Foods,SME,Cosco Shipping,Air,Sea,2024-37,"5,0","1,0",,,Dati Validi,0
158,2024-02-12,2024-02-13,2024-03-06,"20870,6","78,56","21728,49",Delivered,Italy,USA,Atlantic Furniture Co.,Standard,Maersk Line,Sea,Sea,2024-07,"22,0","1,0","1,0411051910342781","276,58464867617107",Dati Validi,0
159,2025-05-24,2025-06-02,2025-06-08,"21048,5","94,62","49359,1",Delayed,China,Italy,Coastal Imports,SME,CMA CGM,Road,Sea,2025-20,"6,0",,,,Dati Validi,1
160,2024-06-10,2024-06-18,2024-07-21,"10244,5","50,96","7981,67",Delivered,China,Italy,Delta Manufacturing,Standard,,Sea,Road,2024-24,"33,0","1,0",,,Anagrafica Carrier Mancante,0
161,2025-01-14,2025-01-23,2025-01-28,"7054,6","32,07","7487,19",Delivered,Sweden,Italy,Green Valley Foods,SME,DHL Global Forwarding,Air,Road,2025-02,"5,0","1,0",,,Dati Validi,0
162,2025-03-04,2025-03-08,,"7237,2","30,58","8643,61",Cancelled,Spain,Italy,Atlantic Furniture Co,Standard,MSC,Air,Sea,2025-09,,,,,Dati Validi,1
163,2024-11-11,2024-11-19,2024-11-20,"20797,9","92,1","56696,59",Delivered,Italy,Portugal,Mediterraneo Ceramiche,Standard,Cosco Shipping,Air,Sea,2024-46,"1,0","1,0",,,Dati Validi,0
164,2025-05-21,2025-05-31,2025-07-10,"10379,4","45,03","25456,12",Delayed,Netherlands,Italy,Green Valley Foods,SME,MSC,Sea,Sea,2025-20,"40,0",,"2,4525618051139757","565,3146791028203",Dati Validi,1
165,2024-02-16,2024-02-23,,"12381,9","60,58","13714,23",In Transit,Italy,USA,Delta Manufacturing,Standard,DHL Global Forwarding,Air,Road,2024-07,,,,,Dati Validi,0
166,2024-05-11,2024-05-13,2024-05-17,"17498,0","87,11","46744,77",Delivered,Italy,Germany,Mediterraneo Ceramiche,Standard,Cosco Shipping,Air,Sea,2024-19,"4,0","1,0",,,Dati Validi,0
167,2024-02-11,2024-02-12,2024-02-13,"15713,3","58,07","25972,48",Delivered,Germany,Netherlands,Sunrise Apparel Ltd,Key Account,Cosco Shipping,Air,Sea,2024-06,"1,0","1,0",,,Dati Validi,0
168,2024-06-15,2024-06-22,2024-06-27,"18545,1","77,58","30226,14",Delayed,Italy,USA,Far East Trading Co,Standard,Maersk Line,Air,Sea,2024-24,"5,0",,,,Dati Validi,1
169,2025-01-12,2025-01-18,2025-01-19,"12862,3","47,72","27826,15",Delivered,China,Italy,Mediterraneo Ceramiche,Standard,Emirates SkyCargo,Air,Air,2025-01,"1,0","1,0","2,1633883520054735","583,1129505448449",Dati Validi,0
170,2024-02-22,2024-03-03,2024-03-07,"11556,9","44,76","26290,74",Delivered,Italy,UK,Nordic Textiles AB,Key Account,,Air,Road,2024-08,"4,0","1,0",,,Anagrafica Carrier Mancante,0
171,2024-07-14,2024-07-15,2024-08-18,"9242,2","43,61","8445,1",Delivered,Italy,Germany,Riverstone Logistics Partners,SME,Lufthansa Cargo,Sea,Air,2024-28,"34,0","1,0",,,Dati Validi,0
172,2024-05-21,2024-05-30,,"7184,8","28,82","12094,81",In Transit,China,Italy,Coastal Imports,SME,,Road,Road,2024-21,,,"1,6833885424785657","419,6672449687717",Anagrafica Carrier Mancante,0
173,2024-12-28,2025-01-02,2025-01-11,"21063,6","109,79","23894,88",Delivered,Italy,USA,Atlantic Furniture Co.,Standard,,Road,Road,2024-52,"9,0","1,0","1,134415769384151","217,64167957008834",Anagrafica Carrier Mancante,0
174,2025-05-15,2025-05-21,2025-05-30,"12352,7","42,57","26486,61",Delivered,Italy,UK,Delta Manufacturing,Standard,Emirates SkyCargo,Road,Air,2025-19,"9,0","1,0",,,Dati Validi,0
175,2024-12-19,2024-12-22,2024-12-25,"6363,5","24,75","8040,03",Delivered,Spain,Italy,Coastal Imports,SME,Cosco Shipping,Air,Sea,2024-51,"3,0","1,0",,,Dati Validi,0
176,2024-10-04,2024-10-13,2024-11-10,"2447,5","9,37","2452,31",Delivered,Italy,UK,Delta Manufacturing,Standard,,Sea,Road,2024-40,"28,0","1,0",,,Anagrafica Carrier Mancante,0
177,2024-02-23,2024-02-25,2024-03-04,"15796,0","95,69","35590,26",Delivered,Italy,UK,Far East Trading Co,Standard,Lufthansa Cargo,Road,Air,2024-08,"8,0","1,0",,,Dati Validi,0
178,2025-05-03,2025-05-07,2025-05-10,"6314,9","39,75","14454,88",Delivered,Italy,Portugal,Far East Trading Co,Standard,Maersk Line,Air,Sea,2025-17,"3,0","1,0",,,Dati Validi,0
179,2024-06-28,2024-07-05,2024-07-09,"21937,9","104,69","35235,41",Delivered,China,Italy,Sunrise Apparel Ltd,Key Account,Cosco Shipping,Road,Sea,2024-26,"4,0","1,0",,,Dati Validi,0
180,2024-04-19,2024-04-25,2024-05-24,"21760,7","94,0","34877,69",Delivered,Netherlands,Italy,Delta Manufacturing,Standard,MSC,Sea,Sea,2024-16,"29,0","1,0","1,6027834582527216","371,03925531914894",Dati Validi,0
181,2024-04-25,2024-05-01,2024-05-03,"10123,2","53,68","8880,93",Delayed,Italy,UK,Far East Trading Co,Standard,,Air,Road,2024-17,"2,0",,,,Anagrafica Carrier Mancante,1
182,2025-03-13,2025-03-22,2025-04-21,"-8848,3","53,85","24603,42",Delivered,Spain,Italy,Delta Manufacturing,Standard,Lufthansa Cargo,Sea,Air,2025-10,"30,0","1,0",,,Valori Negativi o Zero,0
183,2024-08-29,2024-09-06,2024-09-09,"6677,7","25,84","3133,14",Delivered,Spain,Italy,Sunrise Apparel Ltd,Key Account,MSC,Air,Sea,2024-35,"3,0","1,0",,,Dati Validi,0
184,2025-04-21,2025-04-26,2025-05-21,"15109,3","52,38","38556,9",Delivered,Italy,Germany,Pinnacle Electronics ,Key Account,Lufthansa Cargo,Sea,Air,2025-16,"25,0","1,0",,,Dati Validi,0
185,2025-01-11,2025-01-21,2025-01-26,"21064,1","95,0","31822,65",Delivered,Netherlands,Italy,Pinnacle Electronics ,Key Account,Maersk,Road,Sea,2025-01,"5,0","1,0",,,Dati Validi,0
186,2025-04-27,2025-05-06,,"5481,9","20,83","13758,87",Cancelled,Germany,Netherlands,Green Valley Foods,SME,CMA CGM,Road,Sea,2025-16,,,,,Dati Validi,1
187,2024-03-20,2024-03-30,2024-04-02,"18241,6","63,91","16384,86",Delivered,Italy,USA,Mediterraneo Ceramiche,Standard,Cosco Shipping,Road,Sea,2024-12,"3,0","1,0",,,Dati Validi,0
188,2024-04-29,2024-05-03,2024-05-12,"19780,6","91,23","10649,64",Delivered,Italy,Portugal,Atlantic Furniture Co.,Standard,DHL Global Forwarding,Road,Road,2024-18,"9,0","1,0","0,5383881176506274","116,7339690891154",Dati Validi,0
189,2025-04-18,2025-04-23,2025-04-25,"5635,3","37,46","5276,73",Delivered,China,Italy,Pinnacle Electronics,Key Account,,Road,Road,2025-15,"2,0","1,0","0,9363707344773126","140,86305392418578",Anagrafica Carrier Mancante,0
190,2024-03-02,2024-03-04,2024-03-13,"6351,6","35,89","4879,63",Delivered,Italy,Germany,Pinnacle Electronics,Key Account,DHL Global Forwarding,Road,Road,2024-09,"9,0","1,0","0,7682520939605768","135,9607132906102",Dati Validi,0
191,2025-04-04,2025-04-11,2025-04-15,"15035,9","60,32","25754,37",Delivered,Spain,Italy,Pinnacle Electronics ,Key Account,CMA CGM,Air,Sea,2025-13,"4,0","1,0",,,Dati Validi,0
192,2025-02-06,2025-02-15,2025-03-11,"21533,0","78,24","48084,42",Delayed,Germany,Netherlands,Green Valley Foods,SME,Maersk,Sea,Sea,2025-05,"24,0",,"2,2330571680676172","614,5759202453988",Dati Validi,1
193,2025-01-23,2025-01-27,2025-01-29,"7648,2","39,97","20569,84",Delivered,Germany,Netherlands,Mediterraneo Ceramiche,Standard,Cosco Shipping,Air,Sea,2025-03,"2,0","1,0",,,Dati Validi,0
194,2024-01-17,2024-01-21,2024-01-26,"2264,7","14,61","4451,16",Delivered,Spain,Italy,Atlantic Furniture Co,Standard,MSC,Road,Sea,2024-03,"5,0","1,0",,,Dati Validi,0
195,2025-02-15,2025-02-23,,"4819,1","17,24","2806,83",In Transit,China,Italy,Nordic Textiles AB,Key Account,Lufthansa Cargo,Road,Air,2025-06,,,,,Dati Validi,0
196,2024-11-24,2024-11-28,2024-12-04,"21686,0","95,04","30345,02",Delivered,Italy,USA,Delta Manufacturing,Standard,Lufthansa Cargo,Road,Air,2024-47,"6,0","1,0",,,Dati Validi,0
197,2025-05-22,2025-05-23,2025-05-30,"14786,0","55,2","17420,85",Delayed,Spain,Italy,Far East Trading Co,Standard,Maersk Line,Road,Sea,2025-20,"7,0",,,,Dati Validi,1
198,2025-04-29,2025-05-03,2025-05-05,"18873,0","109,95","28592,19",Delivered,Sweden,Italy,Atlantic Furniture Co.,Standard,Emirates SkyCargo,Air,Air,2025-17,"2,0","1,0","1,514978540772532","260,0472032742155",Dati Validi,0
199,2024-05-17,2024-05-24,2024-05-29,"4513,2","18,27","12141,03",Delivered,Germany,Netherlands,Pinnacle Electronics,Key Account,CMA CGM,Road,Sea,2024-20,"5,0","1,0",,,Dati Validi,0
200,2024-02-22,2024-02-27,2024-03-06,"13329,1","85,48","7991,63",Delayed,Italy,UK,Atlantic Furniture Co,Standard,Cosco Shipping,Road,Sea,2024-08,"8,0",,,,Dati Validi,1
201,2024-08-01,2024-08-07,2024-09-05,"4699,2","26,33","158302,5",Delivered,Italy,Portugal,Coastal Imports,SME,Cosco Shipping,Sea,Sea,2024-31,"29,0","1,0","33,68711695607763","6012,24838587163",Dati Validi,0
202,2025-02-10,2025-02-14,2025-02-24,"17072,5","82,44","28870,52",Delivered,Italy,UK,Mediterraneo Ceramiche,Standard,Lufthansa Cargo,Road,Air,2025-06,"10,0","1,0",,,Dati Validi,0
203,2025-04-22,2025-04-24,,"18482,1","64,36","24031,09",Cancelled,Italy,Portugal,Delta Manufacturing,Standard,DHL Global Forwarding,Road,Road,2025-16,,,"1,3002359039286662","373,38548788067123",Dati Validi,1
204,2024-01-17,2024-01-22,,"12762,2","60,02","9938,58",In Transit,Sweden,Italy,Coastal Imports,SME,Lufthansa Cargo,Road,Air,2024-03,,,,,Dati Validi,0
205,2024-12-11,2024-12-16,2024-12-20,"14135,2","63,22","11689,56",Delayed,Germany,Netherlands,Pinnacle Electronics,Key Account,Lufthansa Cargo,Air,Air,2024-50,"4,0",,"0,8269822853585375","184,90287883581144",Dati Validi,1
206,2025-05-15,2025-05-18,2025-05-28,"21061,3","92,14","50913,03",Delayed,Germany,Netherlands,Atlantic Furniture Co.,Standard,Maersk Line,Road,Sea,2025-19,"10,0",,,,Dati Validi,1
207,2024-05-20,2024-05-24,2024-06-15,"3365,1","18,41","5100,04",Delayed,Spain,Italy,Riverstone Logistics Partners,SME,MSC,Sea,Sea,2024-21,"22,0",,"1,5155686309470744","277,02552960347634",Dati Validi,1
208,2024-01-17,2024-01-18,,"9078,9","59,53","19605,19",In Transit,Italy,Portugal,Riverstone Logistics Partners,SME,,Road,Road,2024-03,,,"2,159423498441441","329,33294137409706",Anagrafica Carrier Mancante,0
209,2024-07-02,2024-07-04,,"3318,3","18,56","5855,3",In Transit,Spain,Italy,Delta Manufacturing,Standard,MSC,Road,Sea,2024-27,,,,,Dati Validi,0
210,2025-02-19,2025-02-27,2025-04-06,"21785,6","118,48","44826,41",Delivered,Italy,USA,Delta Manufacturing,Standard,CMA CGM,Sea,Sea,2025-07,"38,0","1,0","2,057616498971798","378,3457967589467",Dati Validi,0
211,2025-01-23,2025-01-30,2025-03-08,"1281,7","8,46","1264,82",Delivered,Spain,Italy,Riverstone Logistics Partners,SME,MSC,Sea,Sea,2025-03,"37,0","1,0","0,9868299914176484","149,5059101654846",Dati Validi,0
212,2025-06-24,2025-06-25,2025-06-30,"19832,9","78,13","35056,38",Delivered,Italy,Germany,Pinnacle Electronics,Key Account,DHL Global Forwarding,Road,Road,2025-25,"5,0","1,0","1,767587190980643","448,6929476513503",Dati Validi,0
213,2024-07-02,2024-07-08,2024-07-10,"12935,4","49,21","27489,66",Delivered,China,Italy,Atlantic Furniture Co,Standard,Emirates SkyCargo,Road,Air,2024-27,"2,0","1,0",,,Dati Validi,0
214,2025-02-02,2025-02-11,2025-03-13,"16635,6","97,29","46423,11",Delivered,Italy,UK,Atlantic Furniture Co,Standard,Emirates SkyCargo,Sea,Air,2025-04,"30,0","1,0",,,Dati Validi,0
215,2025-03-23,2025-03-27,2025-04-18,"13333,5","55,08","24782,24",Delivered,Italy,Germany,Far East Trading Co,Standard,DHL Global Forwarding,Sea,Road,2025-11,"22,0","1,0",,,Dati Validi,0
216,2025-04-06,2025-04-14,2025-04-19,"12189,2","59,08","10564,33",Delivered,Netherlands,Italy,Green Valley Foods,SME,MSC,Road,Sea,2025-13,"5,0","1,0",,,Dati Validi,0
217,2024-09-09,2024-09-11,2024-09-14,"3435,2","13,38","6909,14",Delivered,Netherlands,Italy,Pinnacle Electronics,Key Account,Maersk,Road,Sea,2024-37,"3,0","1,0",,,Dati Validi,0
218,2024-01-06,2024-01-11,2024-02-14,"16761,6","101,38","10417,26",Delivered,Italy,Germany,Green Valley Foods,SME,DHL Global Forwarding,Sea,Road,2024-01,"34,0","1,0",,,Dati Validi,0
219,2024-04-15,2024-04-16,2024-04-19,"12215,1","50,99","28235,14",Delivered,Spain,Italy,Far East Trading Co,Standard,Cosco Shipping,Road,Sea,2024-16,"3,0","1,0",,,Dati Validi,0
220,2024-03-27,2024-04-05,,"11488,2","45,44","9412,85",In Transit,Spain,Italy,Nordic Textiles AB,Key Account,Emirates SkyCargo,Air,Air,2024-13,,,"0,8193494194042583","207,14898767605635",Dati Validi,0
221,2024-06-20,2024-06-27,2024-07-25,"6629,6","24,79","8778,19",Delivered,Italy,Germany,Delta Manufacturing,Standard,,Sea,Road,2024-25,"28,0","1,0",,,Anagrafica Carrier Mancante,0
222,2025-04-13,2025-04-15,2025-04-19,"198,5","0,95","663,31",Delivered,Italy,UK,Pinnacle Electronics ,Key Account,,Road,Road,2025-14,"4,0","1,0","3,3416120906801003","698,2210526315789",Anagrafica Carrier Mancante,0
223,2024-05-19,2024-05-24,,"20842,8","115,71","24441,02",In Transit,Spain,Italy,Green Valley Foods,SME,,Air,Road,2024-20,,,,,Anagrafica Carrier Mancante,0
224,2024-09-05,2024-09-11,2024-09-19,"17972,1","86,02","12348,52",Delivered,Italy,Portugal,Green Valley Foods,SME,Emirates SkyCargo,Road,Air,2024-36,"8,0","1,0",,,Dati Validi,0
225,2024-01-28,2024-02-05,2024-03-02,"17559,2","63,92","10284,9",Delivered,Germany,Netherlands,Coastal Imports,SME,Cosco Shipping,Sea,Sea,2024-04,"26,0","1,0","0,585727140188619","160,90269086357947",Dati Validi,0
226,2024-09-04,2024-09-09,2024-10-03,"9337,7","45,21","14058,16",Delayed,Netherlands,Italy,Pinnacle Electronics,Key Account,,Sea,Road,2024-36,"24,0",,,,Anagrafica Carrier Mancante,1
227,2025-03-04,2025-03-13,,"21307,0","83,48","50318,9",Cancelled,Germany,Netherlands,Coastal Imports,SME,CMA CGM,Road,Sea,2025-09,,,,,Dati Validi,1
228,2024-06-19,2024-06-29,,"21640,2","86,0","29724,26",In Transit,Italy,USA,Atlantic Furniture Co,Standard,Maersk,Sea,Sea,2024-25,,,"1,3735667877376363","345,6309302325581",Dati Validi,0
229,2024-09-21,2024-09-25,2024-10-31,"11437,6","48,24","20571,41",Delayed,Italy,Germany,Pinnacle Electronics,Key Account,Maersk,Sea,Sea,2024-38,"36,0",,"1,7985774987759668","426,43884742951906",Dati Validi,1
230,2024-06-03,2024-06-09,2024-06-11,"2344,9","11,04","6440,96",Delivered,Germany,Netherlands,Pinnacle Electronics,Key Account,,Road,Road,2024-23,"2,0","1,0","2,7467951725020257","583,4202898550725",Anagrafica Carrier Mancante,0
231,2024-12-17,2024-12-25,,"10650,2","48,1","15753,68",In Transit,Netherlands,Italy,Pinnacle Electronics ,Key Account,Maersk Line,Air,Sea,2024-51,,,,,Dati Validi,0
232,2024-04-27,2024-04-28,2024-05-01,"2450,5","9,08","6758,43",Delayed,China,Italy,Green Valley Foods,SME,Maersk,Air,Sea,2024-17,"3,0",,,,Dati Validi,1
233,2024-12-04,2024-12-13,2024-12-21,"5139,2","24,38","4604,89",Delivered,Sweden,Italy,Far East Trading Co,Standard,Maersk Line,Road,Sea,2024-49,"8,0","1,0",,,Dati Validi,0
234,2025-04-05,2025-04-15,2025-05-18,"147,7","0,81","454,06",Delivered,Italy,UK,Pinnacle Electronics,Key Account,CMA CGM,Sea,Sea,2025-13,"33,0","1,0","3,074204468517265","560,5679012345679",Dati Validi,0
235,2025-01-09,2025-01-15,2025-01-20,"2551,3","10,18","4405,76",Delivered,Sweden,Italy,Atlantic Furniture Co,Standard,Maersk,Road,Sea,2025-01,"5,0","1,0",,,Dati Validi,0
236,2024-04-26,2024-05-02,,"10100,0","57,43","20698,01",Cancelled,Spain,Italy,Green Valley Foods,SME,CMA CGM,Road,Sea,2024-17,,,,,Dati Validi,1
237,2024-11-16,2024-11-18,2024-11-23,"2617,0","12,7","2120,61",Delivered,Sweden,Italy,Coastal Imports,SME,Maersk,Road,Sea,2024-46,"5,0","1,0",,,Dati Validi,0
238,2025-03-09,2025-03-12,2025-03-21,"11845,5","41,15","31307,74",Delayed,Spain,Italy,Coastal Imports,SME,Maersk Line,Road,Sea,2025-09,"9,0",,,,Dati Validi,1
239,2024-07-10,2024-07-16,,"1226,8","6,02","616,72",In Transit,Sweden,Italy,Atlantic Furniture Co.,Standard,,Air,Road,2024-28,,,,,Anagrafica Carrier Mancante,0
240,2025-02-22,2025-03-02,2025-03-10,"18485,6","82,78","11122,76",Delayed,Italy,Portugal,Pinnacle Electronics,Key Account,Cosco Shipping,Road,Sea,2025-07,"8,0",,,,Dati Validi,1
241,2024-08-18,2024-08-27,2024-09-25,"17187,2","73,18","38965,27",Delivered,Netherlands,Italy,Sunrise Apparel Ltd,Key Account,Emirates SkyCargo,Sea,Air,2024-33,"29,0","1,0",,,Dati Validi,0
242,2024-10-01,2024-10-10,,"18106,3","115,89","38727,12",In Transit,Italy,Germany,Far East Trading Co,Standard,Maersk,Road,Sea,2024-40,,,,,Dati Validi,0
243,2024-10-31,2024-11-01,2024-11-10,"7701,3","28,26","11593,79",Delivered,Italy,UK,Pinnacle Electronics,Key Account,Maersk,Road,Sea,2024-44,"9,0","1,0",,,Dati Validi,0
244,2025-03-14,2025-03-17,,"4585,3","25,33","2660,12",Cancelled,Italy,USA,Sunrise Apparel Ltd,Key Account,Lufthansa Cargo,Road,Air,2025-10,,,,,Dati Validi,1
245,2024-10-26,2024-10-31,2024-12-08,"20955,1","92,25","53988,18",Delivered,Italy,USA,Delta Manufacturing,Standard,Cosco Shipping,Sea,Sea,2024-43,"38,0","1,0","2,5763742477964793","585,2377235772358",Dati Validi,0
246,2024-05-09,2024-05-12,2024-06-08,"15665,1","57,12","35181,27",Delivered,Netherlands,Italy,Atlantic Furniture Co.,Standard,CMA CGM,Sea,Sea,2024-19,"27,0","1,0","2,245837562479652","615,9185924369748",Dati Validi,0
247,2025-02-28,2025-03-07,2025-03-16,"13958,1","49,49","8932,33",Delivered,Netherlands,Italy,Mediterraneo Ceramiche,Standard,Maersk Line,Road,Sea,2025-08,"9,0","1,0",,,Dati Validi,0
248,2024-12-01,2024-12-11,,"17042,3","65,57","36923,6",Cancelled,Italy,Portugal,Delta Manufacturing,Standard,DHL Global Forwarding,Air,Road,2024-48,,,,,Dati Validi,1
249,2025-02-11,2025-02-15,,"4700,1","24,7","11392,17",Cancelled,Germany,Netherlands,Riverstone Logistics Partners,SME,DHL Global Forwarding,Sea,Road,2025-06,,,,,Dati Validi,1
250,2024-12-17,2024-12-18,2024-12-20,"13794,6","50,07","6432,17",Delivered,Italy,Portugal,Coastal Imports,SME,Maersk Line,Road,Sea,2024-51,"2,0","1,0",,,Dati Validi,0
251,2025-03-14,2025-03-18,2025-03-20,"6675,9","23,74","16797,97",Delayed,China,Italy,Atlantic Furniture Co.,Standard,,Air,Road,2025-10,"2,0",,,,Anagrafica Carrier Mancante,1
252,2024-06-18,2024-06-19,2024-07-21,"6755,9","26,5","6778,23",Delayed,Italy,USA,Green Valley Foods,SME,Emirates SkyCargo,Sea,Air,2024-25,"32,0",,,,Dati Validi,1
253,2025-05-03,2025-05-05,,"5014,9","19,9","2411,19",In Transit,Italy,UK,Pinnacle Electronics ,Key Account,Maersk,Sea,Sea,2025-17,,,"0,4808052005025026","121,16532663316585",Dati Validi,0
254,2025-05-04,2025-05-06,2025-05-11,"2010,8","7,42","1481,01",Delivered,Sweden,Italy,Atlantic Furniture Co,Standard,CMA CGM,Road,Sea,2025-17,"5,0","1,0",,,Dati Validi,0
